director_name,num_critic_for_reviews,duration,gross,genres,movie_title,budget,title_year,imdb_score
Ridley Scott,161,158.00,67245223.00,Crime | Drama,House of Gucci,75000000.00,2021.00,7.00
Paul Thomas Anderson,31,133.00,761126.00,Comedy | Drama | Romance,Licorice Pizza,40000000.00,2021.00,8.60
Jared Bush | Byron Howard | Charise Castro Smith ,124,102.00,116059641.00,Animation | Adventure | Comedy | Family | Fantasy | Musical,Encanto,120000000.00,2021.00,7.70
Johannes Roberts,64,107.00,24273747.00,Action | Horror | Sci-Fi,Resident Evil: Welcome to Raccoon City,25000000.00,2021.00,5.60
Stephen Karam,46,108.00,0.00,Drama,The Humans,0.00,2021.00,6.10
Ryûsuke Hamaguchi,70,179.00,1545837.00,Drama,Drive My Car,0.00,2021.00,7.90
Chloé Zhao,275,156.00,384328707.00,Action | Adventure | Fantasy | Sci-Fi,Eternals,200000000.00,2021.00,6.80
Pablo Larraín ,188,117.00,11150247.00,Biography | Drama,Spencer,18000000.00,2021.00,7.00
Rohit Shetty ,12,145.00,1902386.00,Action | Crime | Thriller,Sooryavanshi,21898816.00,2021.00,6.30
Jim Cummings | PJ McCabe ,64,93.00,37539.00,Comedy | Horror | Thriller,The Beta Test,250000.00,2021.00,6.20
John Swab ,15,111.00,0.00,Action | Thriller,Ida Red,12400000.00,2021.00,5.50
Justine Bateman ,43,92.00,0.00,Drama,Violet,0.00,2021.00,5.80
Daniel Graham,13,93.00,0.00,Comedy | Drama,The Grand Duke of Corsica,0.00,2021.00,4.70
David Hackl,23,99.00,0.00,Action | Thriller,Dangerous,10000000.00,2021.00,5.00
Eamonn Butler | Dave Rosenbaum ,3,90.00,0.00,Animation | Fantasy,Riverdance: The Animated Adventure,35000000.00,2021.00,5.40
Kenneth Branagh,100,98.00,5862990.00,Drama,Belfast,0.00,2021.00,7.60
Walt Becker,47,96.00,45728000.00,Adventure | Comedy | Family | Fantasy,Clifford the Big Red Dog,64000000.00,2021.00,6.00
Edward Drake,18,94.00,0.00,Action | Thriller,Apex,0.00,2021.00,3.20
Danis Goulet,43,101.00,0.00,Action | Sci-Fi | Thriller,Night Raiders,0.00,2021.00,5.30
Jason Reitman,216,124.00,145091594.00,Adventure | Comedy | Fantasy | Sci-Fi,Ghostbusters: Afterlife,75000000.00,2021.00,7.70
Reinaldo Marcus Green ,135,144.00,21602551.00,Biography | Drama | Sport,King Richard,50000000.00,2021.00,7.60
Mike Mills,55,109.00,0.00,Drama,C'mon C'mon,8300000.00,2021.00,8.10
Lee Haven Jones,66,93.00,7172.00,Drama | Horror | Mystery | Thriller,The Feast,0.00,2021.00,5.50
Alison Klayman ,19,99.00,40491165.00,Documentary | Biography | Music,Jagged,0.00,2021.00,7.20
Radu Jude ,97,106.00,361434.00,Comedy | Drama,Bad Luck Banging or Loony Porn,1048765.00,2021.00,6.70
